rank,word,definition
1,the,definite article
2,be,exist; equal
3,to,preposition / infinitive marker
4,of,belonging to
5,and,conjunction
1000,feature,a distinctive attribute
1001,approach,a way of dealing with something
1500,benefit,an advantage or profit
3000,ambiguous,open to more than one interpretation
3500,criterion,a principle for judging
6000,hypothesis,a proposed explanation
6500,jurisdiction,the official power to make legal decisions
10000,methodology,a system of methods
10500,paradigm,a typical example or pattern
15000,obfuscate,make unclear
