rank,word,definition,level
1,the,"指已提到的人（物）,指说话人与听者已知的人（物）,用于独一无二的事物前,与形容词最高级和序数词连用",1
2,be,"是,有，存在,做，成为,发生,用来表示某人或某物即主语本身，用来表示某人或某物属于某一群体或有某种性质",1
3,and,"和，与,而且,于是，然后,因此",1
4,of,"关于,属于…的,由…制成,助动词  [非标准用语、方言] =have [主用于虚拟语气]",1
5,a,"一（个）,每一（个）,任一（个）",1
6,in,"采用（某种方式）,穿着，带着,（表示位置）在…里面，（表示领域，范围）在…以内,（表示品质、能力等）在…之中,在家,进入，到达,流行,当选,在内的，朝内的,在位的，执政的,[口语]流行的，时髦的,（车等）到站的,执政党，掌权者,知情者,<美口>入口，门路,<体>（板球或棒球）攻球的一方",1
7,to,"向，朝着,到,关于,属于,朝一个方向的,到某种状态,关闭",1
8,have,"用以构成完成式及完成式的不定式，表示已经…,有，具有,拿，取得,从事,必须，不得不,〈口〉有产者，有钱人,富国,〈英俚〉欺骗，诈骗",1
10,it,"它,他,正好是所需的,事实[情况],<美俚>傻瓜，笨蛋,<俚>绝妙的人,理想的东西,登峰造极",1
11,i,"我,个人,利己主义者,碘元素,英语字母表中第九个字母,罗马数字1",1
12,that,"那个，那,多么,如此…以至,用于某些动词、形容词和名词后，引出各种从句,不那么,那样",1
13,for,"为，为了,倾向于,关于,当作,因为，由于",1
14,you,"你,你们，您们,各位,大家",1
15,he,"他，它,一个人,雄性动物",1
16,with,"和，跟,随着,关于,和…一致",1
17,on,"（表示方向）向,（表示对象）对,（表示位置）在…上,（表示时间）在…之时,（放，穿，连接）上,向前，（继续）下去,活动着的情况，状态,使用着的,发生着的,计划中的",1
18,do,"构成疑问句和否定句,代替动词,用于加强语气,做,干,进行,从事,表现,进展,引起,行过,社交聚会,社交活动,宴会",1
19,say,"说， 讲,表明，宣称,假设,约莫,表明,念,说明,比方说,发言权,说话,要说的话",1
20,this,"这，这个,这事，这人,这时,下面所说的事,刚过去的，即将到来的,今…，本…,这样地,就是这样,这么地",1
21,they,"他/她/它们,人们，大家,政府，当局,她们",1
